query	species	genus	family	order	class	phylum	domain	stringency	avgdist	GVOG9u	GVOG9t	GVOG7u	GVOG7t	GVOG7df	MCP	UNI56u	UNI56t	UNI56df	xgb	contigs	LENbp	GCperc	genecount	CODINGperc	ttable
48DmetaG_59	s__	g_g177	f_AG_01	o_Algavirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0526105902857142	7	14	6	7	1.1666666666666667	7	0	0	0.0	Algavirales___NCLDV	8	176981	40.44	238	95.67	code4
61DmetaG_51	s__	g_g329	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.146318684875	8	20	6	10	1.6666666666666667	5	1	5	5.0	Imitervirales___NCLDV	68	628221	29.31	750	93.72	code4
33DmetaG_35	s__	g__	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.479739578	8	11	6	7	1.1666666666666667	2	2	4	2.0	Imitervirales___NCLDV	24	272774	30.63	216	91.3	code6
61DmetaG_40	s__	g__	f_AG_01	o_Algavirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.3418034014285714	7	14	6	7	1.1666666666666667	7	0	0	0.0	Algavirales___NCLDV	6	162618	37.11	235	95.25	code11
48DmetaG_49	s__	g_g177	f_AG_01	o_Algavirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0158732766666666	6	11	5	5	1.0	6	0	0	0.0	Algavirales___NCLDV	8	119163	40.4	184	95.77	code1
16DmetaG_18	s__	g__	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0823585804	5	6	4	4	1.0	0	1	2	2.0	Imitervirales___NCLDV	14	501267	23.63	400	93.96	code6
80DmetaG_10	s__	g__	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0363364859999999	9	14	7	9	1.2857142857142858	2	3	5	1.6666666666666667	Imitervirales___NCLDV	16	397237	30.92	402	91.99	code4
29DmetaG_35	s__	g_g292	f_IM_07	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0840573055555555	9	22	7	7	1.0	13	3	4	1.3333333333333333	Imitervirales___NCLDV	35	641242	28.91	615	94.55	codemeta
23DmetaG_4	s_GVMAG-S-ERX555957-35	g_g270	f_IM_06	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.7644118929999999	1	1	0	0	0.0	1	0	0	0.0	Imitervirales___NCLDV	26	211325	19.63	183	94.26	code6
62DmetaG_35	s__	g_g177	f_AG_01	o_Algavirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.2753674809999999	4	4	3	3	1.0	1	0	0	0.0	Algavirales___NCLDV	2	56658	52.24	79	92.09	code1
